time,ia,ib,ic,va,vb,vc,theta_e,vn,legRdsA,legRdsB,legRdsC,VinvA,VinvB,VinvC
0.08310000000000001,-23.06684092224934,23.066840941090796,-1.8841453241616673e-08,0.23066840922249343,23.769331590589093,12.942072662080834,4.1594686733525155,12.314024220630822,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08315,-23.07773200720657,23.077732026051123,-1.8844553510407275e-08,0.2307773200720657,23.76922267973949,12.942227675520364,4.165751858659695,12.314075891777327,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08320000000000001,-23.088518937877506,23.08851895672442,-1.8846909828490536e-08,0.23088518937877509,23.769114810432757,12.942345491424527,4.172035043966874,12.314115163745315,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08325,-23.099204321702373,23.099204340550898,-1.8848522102847735e-08,0.23099204321702374,23.769007956594493,12.942426105142387,4.178318229274053,12.314142034984636,0.01,0.01,50000000.0,0.0,24.0,12.0
0.0833,-23.10979069470474,23.109790713554133,-1.884939026982478e-08,0.2310979069470474,23.768902092864458,12.94246951349124,4.184601414581232,12.314156504434246,0.01,0.01,50000000.0,0.0,24.0,12.0
0.08335000000000001,-22.921312934861795,22.183216926231022,0.7380960086307696,0.22921312934861796,0.4781678307376897,23.99261903991369,4.190884599888411,8.233333333333388,0.01,0.01,0.01,0.0,0.7,24.0
0.0834,-22.737689044918714,21.27984943705216,1.4578396078665525,0.2273768904491871,0.4872015056294784,23.985421603921335,4.197167785195591,8.23333333333334,0.01,0.01,0.01,0.0,0.7,24.0
0.08345000000000001,-22.558798924847366,20.399110586629394,2.159688338217972,0.22558798924847367,0.496008894133706,23.97840311661782,4.20345097050277,8.23333333333334,0.01,0.01,0.01,0.0,0.7,24.0
0.0835,-22.38452545439302,19.54043707306952,2.8440883813235005,0.2238452545439302,0.5045956292693048,23.971559116186764,4.209734155809949,8.233333333333315,0.01,0.01,0.01,0.0,0.7,24.0
0.08355,-22.21475441895627,18.703279594986444,3.5114748239698272,0.2221475441895627,0.5129672040501355,23.9648852517603,4.216017341117128,8.233333333333315,0.01,0.01,0.01,0.0,0.7,24.0
0.08360000000000001,-22.049374437318246,17.887102503390434,4.162271933927811,0.22049374437318245,0.5211289749660957,23.958377280660724,4.222300526424307,8.23333333333334,0.01,0.01,0.01,0.0,0.7,24.0
0.08365,-21.88827689116326,17.091383462233736,4.796893428929528,0.21888276891163264,0.5290861653776626,23.952031065710706,4.228583711731487,8.23333333333334,0.01,0.01,0.01,0.0,0.7,24.0
0.08370000000000001,-21.731355856354224,16.315613117397262,5.415742738956956,0.2173135585635422,0.5368438688260273,23.94584257261043,4.234866897038666,8.233333333333364,0.01,0.01,0.01,0.0,0.7,24.0
0.08375,-21.578508035917174,15.559294773908531,6.019213262008643,0.21578508035917174,0.5444070522609146,23.939807867379912,4.241150082345845,8.233333333333267,0.01,0.01,0.01,0.0,0.7,24.0
0.0838,-21.429632694692554,14.821944081186079,6.607688613506475,0.21429632694692552,0.5517805591881392,23.933923113864935,4.247433267653024,8.23333333333334,0.01,0.01,0.01,0.0,0.7,24.0
0.08385000000000001,-21.28463159561163,14.10308872611084,7.181542869500785,0.2128463159561163,0.5589691127388916,23.928184571304993,4.253716452960203,8.233333333333364,0.01,0.01,0.01,0.0,0.7,24.0
